Product,Date,Time,SN,MAC,Result,Filename
TN-86_PICO-IMX7,2026-01-07,09:18:50,513126020200,001F7B6BD14E_001F7B6BD14F,PASS,20260107_091850_513126020200_001F7B6BD14E_001F7B6BD14F_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:19:35,513126020238,001F7B6BD19A_001F7B6BD19B,PASS,20260107_091935_513126020238_001F7B6BD19A_001F7B6BD19B_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:20:01,513126020199,001F7B6BD14C_001F7B6BD14D,PASS,20260107_092001_513126020199_001F7B6BD14C_001F7B6BD14D_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:20:13,513126020198,001F7B6BD14A_001F7B6BD14B,PASS,20260107_092013_513126020198_001F7B6BD14A_001F7B6BD14B_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:22:59,513126020240,001F7B6BD19E_001F7B6BD19F,PASS,20260107_092259_513126020240_001F7B6BD19E_001F7B6BD19F_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:23:58,513126020228,001F7B6BD186_001F7B6BD187,PASS,20260107_092358_513126020228_001F7B6BD186_001F7B6BD187_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:24:47,513126020245,001F7B6BD1A8_001F7B6BD1A9,PASS,20260107_092447_513126020245_001F7B6BD1A8_001F7B6BD1A9_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:26:16,513126020221,001F7B6BD178_001F7B6BD179,PASS,20260107_092616_513126020221_001F7B6BD178_001F7B6BD179_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:26:26,513126020215,001F7B6BD16C_001F7B6BD16D,PASS,20260107_092626_513126020215_001F7B6BD16C_001F7B6BD16D_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:28:29,513126020211,001F7B6BD164_001F7B6BD165,PASS,20260107_092829_513126020211_001F7B6BD164_001F7B6BD165_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:31:51,513126020217,001F7B6BD170_001F7B6BD171,PASS,20260107_093151_513126020217_001F7B6BD170_001F7B6BD171_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:33:01,513126020201,001F7B6BD150_001F7B6BD151,PASS,20260107_093301_513126020201_001F7B6BD150_001F7B6BD151_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:33:01,513126020246,001F7B6BD1AA_001F7B6BD1AB,PASS,20260107_093301_513126020246_001F7B6BD1AA_001F7B6BD1AB_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:33:16,513126020226,001F7B6BD182_001F7B6BD183,PASS,20260107_093316_513126020226_001F7B6BD182_001F7B6BD183_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:33:21,513126020197,001F7B6BD148_001F7B6BD149,PASS,20260107_093321_513126020197_001F7B6BD148_001F7B6BD149_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:36:02,513126020244,001F7B6BD1A6_001F7B6BD1A7,PASS,20260107_093602_513126020244_001F7B6BD1A6_001F7B6BD1A7_PASS.txt
TN-86_PICO-IMX7,2026-01-07,09:38:39,513126020219,001F7B6BD174_001F7B6BD175,PASS,20260107_093839_513126020219_001F7B6BD174_001F7B6BD175_PASS.txt
